Day,Participant,Recording 1 Age,Recording 1 Height,Recording 1 Weight,Recording 2 Age,Recording 2 Height,Recording 2 Weight,Recording 3 Age,Recording 3 Height,Recording 3 Weight,Recording 4 Age,Recording 4 Height,Recording 4 Weight,Recording 5 Age,Recording 5 Height,Recording 5 Weight,Who is older in 6 and 7?,Who is taller in 6 and 7?,Who is heavier in 6 and 7?,Who is older in 8 and 9?,Who is taller in 8 and 9?,Who is heavier in 8 and 9?
31,samemon,20,168,70,24,163,65,20,166,65,21,170,68,19,164,75,Recording 6/7,Recording 7,Recording 7,Recording 8,Recording 9,Recording 9
31,abelinoj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
31,rsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
31,wenbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
31,bmartin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,correct,22,155.6,63,28,162.4,63.9,20,152.4,72.3,19,161.2,68,21,164.4,63,Recording 6,Recording 6,Recording 7,Recording 8/9,Recording 8,Recording 8
32,samemon,27,167,80,23,165,66,20,162,65,19,154,55,19,163,70,Recording 6,Recording 7,Recording 7,Recording 9,Recording 8,Recording 8
32,wenbo,21,172,88,24,163,59,20,169,73,20,163,55,19,162,60,Recording 6/7,Recording 7,Recording 7,Recording 8,Recording 9,Recording 9
32,mahmoudi,22,159,75,31,165,65,21,160,59,19,160,55,22,165,58,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8/9,Recording 8
32,yandongw,20,165,60,30,158,50,20,160,55,18,158,53,28,160,60,Recording 6/7,Recording 7,Recording 7,Recording 8,Recording 9,Recording 9
32,hyd,25,165,60,27,167,60,28,167,60,20,167,55,20,165,57,Recording 6,Recording 7,Recording 7,Recording 8,Recording 9,Recording 8
32,bmartin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,bhikshar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,yangyanx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,abelinoj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
32,rsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,correct,20,173.5,69.5,27,157.4,66,55,174.2,81.11,60,167.3,66.7,21,163,56.2,Recording 6/7,Recording 7,Recording 7,Recording 8,Recording 8,Recording 8
33,samemon,26,167,68,55,162,75,58,160,70,62,170,85,21,168,60,Recording 7,Recording 6,Recording 7,Recording 8,Recording 9,Recording 8
33,mahmoudi,21,165,58,38,161,72,33,166,65,34,164,67,24,164,70,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 9
33,wenbo,23,168,68,33,159,70,26,166,68,65,154,76,44,173,55,Recording 6,Recording 6,Recording 7,Recording 9,Recording 9,Recording 9
33,yandongw,25,160,60,25,160,56,43,160,58,50,155,65,25,160,58,Recording 6/7,Recording 6/7,Recording 6/7,Recording 8/9,Recording 9,Recording 9
33,bhikshar,21,163,70,20,165,70,45,172,70,55,170,65,20,165,70,Recording 6/7,Recording 6,Recording 6,Recording 8,Recording 9,Recording 9
33,bmartin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,yangyanx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,abelinoj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,rsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
33,hyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,correct,25,168.4,57.2,25,164,61.7,21,165,53.4,32,169.8,65.4,57,163.4,64.8,Recording 7,Recording 7,Recording 7,Recording 8/9,Recording 8,Recording 8
34,wenbo,26,166,76,23,172,69,24,165,60,45,165,55,50,172,67,Recording 6,Recording 7,Recording 6,Recording 9,Recording 8,Recording 9
34,bhikshar,23,170,70,28,170,65,24,178,70,28,180,70,60,163,60,Recording 7,Recording 7,Recording 6,Recording 9,Recording 8,Recording 8
34,hyd,27,164,80,25,165,60,26,165,70,24,165,60,50,164,70,Recording 6/7,Recording 6,Recording 7,Recording 9,Recording 9,Recording 8/9
34,samemon,28,169,65,21,164,60,26,166,64,42,170,70,45,161,70,Recording 6/7,Recording 7,Recording 6,Recording 8/9,Recording 8,Recording 8
34,bmartin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,yangyanx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,mahmoudi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,yandongw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,abelinoj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
34,rsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recording 7,Recording 6,Recording 7,Recording 9,Recording 8,Recording 8
